iter	Passed	Remaining
0	0	88
1	1	85
2	2	83
3	3	77
4	4	76
5	4	75
6	5	75
7	6	73
8	7	73
9	8	72
10	8	72
11	9	71
12	10	70
13	11	69
14	12	68
15	12	67
16	13	67
17	14	66
18	15	65
19	16	65
20	17	64
21	17	63
22	18	62
23	19	61
24	20	61
25	21	60
26	22	59
27	22	58
28	23	57
29	24	57
30	25	56
31	26	55
32	26	54
33	27	54
34	28	53
35	30	53
36	31	52
37	32	52
38	32	51
39	33	50
40	34	50
41	35	48
42	36	47
43	37	47
44	38	46
45	39	45
46	40	45
47	41	44
48	41	43
49	42	42
50	43	42
51	44	41
52	45	40
53	46	39
54	47	38
55	48	37
56	49	37
57	50	36
58	51	35
59	52	34
60	52	33
61	53	33
62	54	32
63	55	31
64	56	30
65	57	29
66	58	28
67	59	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	22
74	66	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	16
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
